sg_uf_municipio_uorg;no_municipio_uorg;qtd_servidores_ativos
PI;ANGICAL DO PIAUI;89
PI;BARRAS;7
PI;BATALHA;1
PI;BOM JESUS;180
PI;CAMPO MAIOR;88
PI;CANTO DO BURITI;1
PI;CAXINGO;45
PI;COCAL;76
PI;CORRENTE;92
PI;CRISTINO CASTRO;3
PI;CURIMATA;2
PI;ESPERANTINA;2
PI;FLORIANO;390
PI;JOSE DE FREITAS;37
PI;LUIS CORREIA;8
PI;LUZILANDIA;4
PI;MIGUEL ALVES;1
PI;OEIRAS;87
PI;PARNAIBA;698
PI;PAULISTANA;94
PI;PEDRO II;91
PI;PICOS;458
PI;PIO IX;25
PI;PIRACURUCA;5
PI;PIRIPIRI;147
PI;SAO JOAO DO PIAUI;70
PI;SAO RAIMUNDO NONATO;172
PI;TERESINA;4.480
PI;UNIAO;3
PI;URUCUI;92
PI;VALENCA DO PIAUI;73
PR;ANDIRA;2
PR;ANTONINA;1
PR;APUCARANA;242
PR;ARAPONGAS;37
PR;ARAPOTI;3
PR;ARAUCARIA;10
PR;ASSIS CHATEAUBRIAND;101
PR;ASTORGA;30
PR;BANDEIRANTES;2
PR;BARRACAO;1
PR;CAMBARA;2
PR;CAMBE;12
PR;CAMPINA GRANDE DO SUL;1
PR;CAMPO LARGO;96
PR;CAMPO MAGRO;5
PR;CAMPO MOURAO;238
PR;CAPANEMA;87
PR;CARAMBEI;3
PR;CASCAVEL;442
PR;CASTRO;8
PR;CATANDUVAS;268
PR;CIANORTE;13
PR;CIDADE GAUCHA;1
PR;COLOMBO;204
PR;COLORADO;3
PR;CORNELIO PROCOPIO;269
PR;CORONEL VIVIDA;35
PR;CRUZEIRO DO OESTE;4
PR;CURITIBA;9.826
PR;DOIS VIZINHOS;206
PR;FAZENDA RIO GRANDE;6
PR;FERNANDES PINHEIRO;2
PR;FOZ DO IGUACU;1.768
PR;FRANCISCO BELTRAO;160
PR;GOIOERE;37
PR;GUAIRA;169
PR;GUARAPUAVA;235
PR;GUARAQUECABA;9
PR;IBAITI;7
PR;IBIPORA;2
PR;IMBITUVA;2
PR;IPORA;2
PR;IRATI;91
PR;ITAIPULANDIA;1
PR;ITAPEJARA D'OESTE;1
PR;ITAPERUCU;2
PR;IVAIPORA;99
PR;JACAREZINHO;111
PR;JAGUAPITA;3
PR;JAGUARIAIVA;49
PR;JANDAIA DO SUL;92
PR;LAPA;4
PR;LARANJEIRAS DO SUL;161
PR;LOANDA;4
PR;LONDRINA;775
PR;MANDAGUARI;4
PR;MANDIRITUBA;1
PR;MANGUEIRINHA;1
PR;MARECHAL CANDIDO RONDON;10
PR;MARIALVA;1
PR;MARINGA;376
PR;MATELANDIA;1
PR;MATINHOS;213
PR;MEDIANEIRA;235
PR;NOVA ESPERANCA;2
PR;PAICANDU;5
PR;PALMAS;194
PR;PALMEIRA;2
PR;PALOTINA;210
PR;PARANAGUA;207
PR;PARANAVAI;142
PR;PATO BRANCO;439
PR;PINHAIS;99
PR;PINHAO;2
PR;PIRAI DO SUL;1
PR;PITANGA;67
PR;PONTA GROSSA;515
PR;PONTAL DO PARANA;99
PR;PRUDENTOPOLIS;2
PR;QUEDAS DO IGUACU;28
PR;REALEZA;162
PR;RIO NEGRO;5
PR;ROLANDIA;12
PR;SANTA FE;2
PR;SANTA HELENA;90
PR;SANTO ANTONIO DA PLATINA;6
PR;SANTO ANTONIO DO SUDOESTE;8
PR;SANTO INACIO;2
PR;SAO JERONIMO DA SERRA;3
PR;SAO JOAO;1
PR;SAO JOSE DOS PINHAIS;17
PR;SAO MATEUS DO SUL;3
PR;SAO MIGUEL DO IGUACU;5
PR;TELEMACO BORBA;108
PR;TERRA BOA;1
PR;TOLEDO;266
PR;TUNEIRAS DO OESTE;2
PR;UBIRATA;2
PR;UMUARAMA;146
PR;UNIAO DA VITORIA;83
RJ;ANGRA DOS REIS;249
RJ;ARARUAMA;11
RJ;ARRAIAL DO CABO;126
RJ;BARRA DO PIRAI;113
RJ;BARRA MANSA;15
RJ;BELFORD ROXO;50
RJ;BOM JARDIM;5
RJ;BOM JESUS DO ITABAPOANA;146
RJ;CABO FRIO;177
RJ;CACHOEIRAS DE MACACU;4
RJ;CAMBUCI;35
RJ;CAMPOS DOS GOYTACAZES;1.355
RJ;CANTAGALO;5
RJ;CARDOSO MOREIRA;2
RJ;CASIMIRO DE ABREU;6
RJ;CORDEIRO;8
RJ;DUQUE DE CAXIAS;1.153
RJ;ENGENHEIRO PAULO DE FRONTIN;67
RJ;GUAPIMIRIM;5
RJ;ITABORAI;47
RJ;ITAGUAI;280
RJ;ITALVA;2
RJ;ITAOCARA;3
RJ;ITAPERUNA;149
RJ;ITATIAIA;16
RJ;JAPERI;3
RJ;MACAE;839
RJ;MAGE;83
RJ;MANGARATIBA;8
RJ;MARICA;60
RJ;MENDES;3
RJ;MESQUITA;34
RJ;MIGUEL PEREIRA;10
RJ;MIRACEMA;4
RJ;NATIVIDADE;1
RJ;NILOPOLIS;296
RJ;NITEROI;6.435
RJ;NOVA FRIBURGO;294
RJ;NOVA IGUACU;560
RJ;PARACAMBI;134
RJ;PARAIBA DO SUL;6
RJ;PARATY;31
RJ;PATY DO ALFERES;6
RJ;PETROPOLIS;371
RJ;PINHEIRAL;164
RJ;PIRAI;2
RJ;PORCIUNCULA;2
RJ;QUEIMADOS;17
RJ;QUISSAMA;61
RJ;RESENDE;160
RJ;RIO BONITO;15
RJ;RIO DAS OSTRAS;222
RJ;RIO DE JANEIRO;48.372
RJ;SANTO ANTONIO DE PADUA;162
RJ;SAO FIDELIS;5
RJ;SAO FRANCISCO DE ITABAPOANA;4
RJ;SAO GONCALO;166
RJ;SAO JOAO DA BARRA;46
RJ;SAO JOAO DE MERITI;83
RJ;SAO JOSE DO VALE DO RIO PRETO;2
RJ;SAO PEDRO DA ALDEIA;56
RJ;SAPUCAIA;4
RJ;SAQUAREMA;3
RJ;SEROPEDICA;1.905
RJ;SILVA JARDIM;7
RJ;TANGUA;3
RJ;TERESOPOLIS;48
RJ;TRES RIOS;103
RJ;VALENCA;86
RJ;VASSOURAS;18
RJ;VOLTA REDONDA;680
RN;ACARI;3
RN;ALEXANDRIA;2
RN;ANGICOS;136
RN;APODI;109
RN;AREIA BRANCA;5
RN;ASSU;11
RN;BARAUNA;4
RN;CAICO;406
RN;CANGUARETAMA;97
RN;CARAUBAS;152
RN;CEARA-MIRIM;93
RN;CURRAIS NOVOS;179
RN;EXTREMOZ;2
RN;GOIANINHA;2
RN;IPANGUACU;92
RN;JARDIM DO SERIDO;4
RN;JOAO CAMARA;100
RN;JUCURUTU;19
RN;LAJES;48
RN;MACAIBA;249
RN;MACAU;100
RN;MARTINS;3
RN;MONTE ALEGRE;2
RN;MOSSORO;1.515
RN;NATAL;6.984
RN;NISIA FLORESTA;4
RN;NOVA CRUZ;102
RN;PARELHAS;57
RN;PARNAMIRIM;203
RN;PATU;3
RN;PAU DOS FERROS;237
RN;SANTA CRUZ;215
RN;SANTO ANTONIO;3
RN;SAO GONCALO DO AMARANTE;133
RN;SAO JOSE DE MIPIBU;2
RN;SAO MIGUEL;4
RN;SAO PAULO DO POTENGI;94
RN;TOUROS;2
RO;ALTA FLORESTA D'OESTE;43
RO;ARIQUEMES;295
RO;BURITIS;2
RO;CACOAL;259
RO;CEREJEIRAS;1
RO;CHUPINGUAIA;1
RO;COLORADO DO OESTE;159
RO;COSTA MARQUES;1
RO;ESPIGAO D'OESTE;7
RO;GUAJARA-MIRIM;218
RO;JARU;74
RO;JI-PARANA;479
RO;MACHADINHO D'OESTE;6
RO;MIRANTE DA SERRA;1
RO;NOVA BRASILANDIA D'OESTE;3
RO;NOVA MAMORE;1
RO;OURO PRETO DO OESTE;17
RO;PIMENTA BUENO;28
RO;PORTO VELHO;6.771
RO;PRESIDENTE MEDICI;34
RO;ROLIM DE MOURA;110
RO;SAO MIGUEL DO GUAPORE;25
RO;VILHENA;337
RR;ALTO ALEGRE;50
RR;AMAJARI;93
RR;BOA VISTA;7.491
RR;BONFIM;100
RR;CANTA;64
RR;CARACARAI;175
RR;IRACEMA;55
RR;MUCAJAI;90
RR;NORMANDIA;62
RR;PACARAIMA;55
RR;RORAINOPOLIS;47
RR;SAO JOAO DA BALIZA;53
RR;SAO LUIZ;44
RR;UIRAMUTA;4
RS;ACEGUA;13
RS;ALEGRETE;347
RS;ALVORADA;91
RS;ANTONIO PRADO;1
RS;ARROIO DO MEIO;2
RS;BAGE;732
RS;BARRA DO QUARAI;2
RS;BENTO GONCALVES;453
RS;CACAPAVA DO SUL;103
RS;CACEQUI;2
RS;CACHOEIRA DO SUL;145
RS;CACHOEIRINHA;6
RS;CAMAQUA;90
RS;CAMBARA DO SUL;2
RS;CAMPO BOM;7
RS;CANDELARIA;2
RS;CANELA;21
RS;CANGUCU;7
RS;CANOAS;197
RS;CAPAO DO LEAO;568
RS;CARAZINHO;23
RS;CARLOS BARBOSA;3
RS;CASCA;2
RS;CAXIAS DO SUL;537
RS;CERRO LARGO;171
RS;CHARQUEADAS;104
RS;CHUI;9
RS;CRUZ ALTA;26
RS;DOIS IRMAOS;7
RS;DOM PEDRITO;107
RS;ELDORADO DO SUL;77
RS;ENCANTADO;8
RS;ENCRUZILHADA DO SUL;1
RS;ERECHIM;350
RS;ESPUMOSO;4
RS;ESTEIO;16
RS;FARROUPILHA;110
RS;FELIZ;96
RS;FLORES DA CUNHA;3
RS;FREDERICO WESTPHALEN;248
RS;GARIBALDI;10
RS;GETULIO VARGAS;3
RS;GIRUA;1
RS;GRAVATAI;67
RS;GUAIBA;11
RS;GUAPORE;7
RS;HARMONIA;1
RS;HORIZONTINA;3
RS;IBIRUBA;124
RS;IJUI;88
RS;IMBE;25
RS;IRAI;1
RS;ITAQUI;122
RS;JAGUARAO;169
RS;JAGUARI;73
RS;JULIO DE CASTILHOS;95
RS;LAGOA VERMELHA;8
RS;LAJEADO;123
RS;MARAU;8
RS;MATO CASTELHANO;6
RS;MIRAGUAI;1
RS;MONTENEGRO;16
RS;MOSTARDAS;1
RS;MUITOS CAPOES;1
RS;NOVA ARACA;1
RS;NOVA PRATA;4
RS;NOVO HAMBURGO;252
RS;OSORIO;162
RS;PALMEIRA DAS MISSOES;126
RS;PANAMBI;126
RS;PANTANO GRANDE;2
RS;PAROBE;1
RS;PASSO FUNDO;411
RS;PELOTAS;3.299
RS;PIRATINI;1
RS;PONTE PRETA;1
RS;PORTAO;3
RS;PORTO ALEGRE;9.204
RS;PORTO LUCENA;4
RS;PORTO MAUA;6
RS;PORTO XAVIER;6
RS;QUARAI;7
RS;RIO GRANDE;2.085
RS;RIO PARDO;7
RS;ROLANTE;80
RS;ROSARIO DO SUL;4
RS;SANTA CRUZ DO SUL;93
RS;SANTA MARIA;4.544
RS;SANTA ROSA;147
RS;SANTA VITORIA DO PALMAR;44
RS;SANTANA DO LIVRAMENTO;268
RS;SANTIAGO;15
RS;SANTO ANGELO;249
RS;SANTO ANTONIO DA PATRULHA;76
RS;SANTO AUGUSTO;111
RS;SAO BORJA;326
RS;SAO FRANCISCO DE PAULA;2
RS;SAO GABRIEL;118
RS;SAO JERONIMO;6
RS;SAO JOAO DO POLESINE;4
RS;SAO JOSE DO NORTE;3
RS;SAO LEOPOLDO;23
RS;SAO LOURENCO DO SUL;45
RS;SAO LUIZ GONZAGA;8
RS;SAO MIGUEL DAS MISSOES;9
RS;SAO SEBASTIAO DO CAI;7
RS;SAO VICENTE DO SUL;179
RS;SAPIRANGA;72
RS;SAPUCAIA DO SUL;128
RS;SARANDI;93
RS;SEBERI;1
RS;SERAFINA CORREA;5
RS;SERTAO;178
RS;SILVEIRA MARTINS;1
RS;SOBRADINHO;3
RS;SOLEDADE;5
RS;TAPEJARA;2
RS;TAPES;2
RS;TAQUARA;15
RS;TAQUARI;2
RS;TEUTONIA;5
RS;TORRES;14
RS;TRAMANDAI;151
RS;TRES DE MAIO;2
RS;TRES PASSOS;18
RS;TRINDADE DO SUL;1
RS;TUPANCIRETA;2
RS;URUGUAIANA;547
RS;VACARIA;78
RS;VENANCIO AIRES;89
RS;VERANOPOLIS;40
RS;VIAMAO;73
RS;VILA FLORES;1
RS;VILA MARIA;1
SC;ABDON BATISTA;2
SC;ABELARDO LUZ;28
SC;ALFREDO WAGNER;3
SC;ARAQUARI;198
SC;ARARANGUA;297
SC;BALNEARIO CAMBORIU;20
SC;BIGUACU;5
SC;BLUMENAU;693
SC;BRACO DO NORTE;7
SC;BRUSQUE;84
SC;CACADOR;78
SC;CAMBORIU;223
SC;CAMPOS NOVOS;6
SC;CANOINHAS;96
SC;CAPINZAL;7
SC;CAPIVARI DE BAIXO;6
SC;CHAPECO;992
SC;CONCORDIA;200
SC;CRICIUMA;236
SC;CURITIBANOS;146
SC;DIONISIO CERQUEIRA;61
SC;FLORIANOPOLIS;7.866
SC;FORQUILHINHA;8
SC;FRAIBURGO;56
SC;GAROPABA;64
SC;GASPAR;98
SC;GRAO PARA;1
SC;GUARAMIRIM;3
SC;GUATAMBU;2
SC;HERVAL D'OESTE;1
SC;IBIRAMA;68
SC;ICARA;8
SC;IMBITUBA;31
SC;INDAIAL;7
SC;IPUACU;1
SC;IPUMIRIM;3
SC;ITAIOPOLIS;3
SC;ITAJAI;430
SC;ITAPEMA;12
SC;ITAPIRANGA;4
SC;ITAPOA;32
SC;JARAGUA DO SUL;222
SC;JOACABA;57
SC;JOINVILLE;632
SC;JOSE BOITEUX;1
SC;LAGES;247
SC;LAGUNA;17
SC;LUZERNA;76
SC;MAFRA;66
SC;MARAVILHA;11
SC;NOVA ERECHIM;1
SC;PALHOCA;107
SC;PALMEIRA;1
SC;PALMITOS;2
SC;PENHA;3
SC;PINHALZINHO;5
SC;POMERODE;5
SC;PORTO UNIAO;8
SC;POUSO REDONDO;1
SC;PRESIDENTE GETULIO;1
SC;QUILOMBO;2
SC;RIO DO SUL;200
SC;RIO NEGRINHO;2
SC;SANTA ROSA DO SUL;131
SC;SAO BENTO DO SUL;80
SC;SAO CARLOS;59
SC;SAO FRANCISCO DO SUL;95
SC;SAO JOAQUIM;1
SC;SAO JOSE;523
SC;SAO LOURENCO DO OESTE;35
SC;SAO MIGUEL DO OESTE;108
SC;SEARA;3
SC;SOMBRIO;85
SC;TIJUCAS;6
SC;TIMBO;9
SC;TRES BARRAS;2
SC;TUBARAO;139
SC;URUBICI;3
SC;URUPEMA;32
SC;URUSSANGA;7
SC;VIDEIRA;142
SC;XANXERE;77
SC;XAXIM;4
SE;ARACAJU;2.740
SE;AREIA BRANCA;2
SE;CANINDE DE SAO FRANCISCO;3
SE;CAPELA;2
SE;ESTANCIA;108
SE;ITABAIANA;273
SE;ITABAIANINHA;4
SE;LAGARTO;309
SE;LARANJEIRAS;69
SE;NOSSA SENHORA APARECIDA;46
SE;NOSSA SENHORA DA GLORIA;124
SE;NOSSA SENHORA DAS DORES;5
SE;NOSSA SENHORA DO SOCORRO;49
SE;PIRAMBU;4
SE;POCO REDONDO;21
SE;PORTO DA FOLHA;3
SE;PROPRIA;50
SE;SAO CRISTOVAO;1.665
SE;TOBIAS BARRETO;47
SE;UMBAUBA;2
SP;ADAMANTINA;9
SP;AGUAI;2
SP;AGUDOS;4
SP;ALVARES MACHADO;2
SP;AMERICANA;15
SP;AMERICO BRASILIENSE;1
SP;AMPARO;16
SP;ANDRADINA;11
SP;APIAI;2
SP;ARACATUBA;158
SP;ARACOIABA DA SERRA;15
SP;ARARAQUARA;237
SP;ARARAS;182
SP;ARTUR NOGUEIRA;2
SP;ARUJA;5
SP;ASSIS;13
SP;ATIBAIA;91
SP;AVARE;117
SP;BARIRI;5
SP;BARRA BONITA;4
SP;BARRETOS;147
SP;BARUERI;46
SP;BASTOS;4
SP;BATATAIS;3
SP;BAURU;379
SP;BEBEDOURO;7
SP;BERTIOGA;3
SP;BIRIGUI;133
SP;BIRITIBA-MIRIM;2
SP;BOITUVA;112
SP;BOTUCATU;43
SP;BRAGANCA PAULISTA;124
SP;BRAUNA;1
SP;BROTAS;1
SP;BURI;108
SP;CABREUVA;5
SP;CACAPAVA;12
SP;CACHOEIRA PAULISTA;66
SP;CAIEIRAS;2
SP;CAJATI;2
SP;CAJURU;3
SP;CAMPINAS;1.356
SP;CAMPO LIMPO PAULISTA;8
SP;CAMPOS DO JORDAO;107
SP;CANANEIA;5
SP;CANDIDO MOTA;4
SP;CAPAO BONITO;5
SP;CAPIVARI;115
SP;CARAGUATATUBA;130
SP;CARAPICUIBA;25
SP;CASA BRANCA;5
SP;CATANDUVA;126
SP;CERQUEIRA CESAR;1
SP;CERQUILHO;5
SP;CONCHAL;1
SP;COSMOPOLIS;5
SP;COTIA;28
SP;CRAVINHOS;3
SP;CRUZEIRO;28
SP;CUBATAO;160
SP;CUNHA;4
SP;DESCALVADO;2
SP;DIADEMA;381
SP;DOIS CORREGOS;2
SP;DRACENA;5
SP;EMBU-GUACU;4
SP;ESPIRITO SANTO DO PINHAL;4
SP;ESTRELA D'OESTE;2
SP;FERNANDOPOLIS;11
SP;FRANCA;101
SP;FRANCO DA ROCHA;10
SP;GARCA;5
SP;GENERAL SALGADO;2
SP;GUAIRA;3
SP;GUAPIACU;3
SP;GUAPIARA;2
SP;GUARARAPES;4
SP;GUARAREMA;2
SP;GUARATINGUETA;60
SP;GUARIBA;1
SP;GUARUJA;12
SP;GUARULHOS;1.173
SP;HOLAMBRA;1
SP;HORTOLANDIA;132
SP;IBATE;2
SP;IBITINGA;5
SP;IGARACU DO TIETE;3
SP;IGUAPE;12
SP;ILHA SOLTEIRA;34
SP;INDAIATUBA;18
SP;IPERO;21
SP;IPEUNA;2
SP;IPUA;1
SP;ITAI;3
SP;ITANHAEM;29
SP;ITAPECERICA DA SERRA;75
SP;ITAPETININGA;144
SP;ITAPEVA;10
SP;ITAPEVI;3
SP;ITAPIRA;4
SP;ITAPOLIS;5
SP;ITAQUAQUECETUBA;75
SP;ITARARE;3
SP;ITATIBA;8
SP;ITU;11
SP;ITUVERAVA;8
SP;JABOTICABAL;8
SP;JACAREI;124
SP;JALES;35
SP;JARINU;3
SP;JAU;24
SP;JOSE BONIFACIO;6
SP;JUNDIAI;232
SP;LARANJAL PAULISTA;5
SP;LEME;4
SP;LENCOIS PAULISTA;8
SP;LIMEIRA;40
SP;LINS;14
SP;LORENA;9
SP;MAIRINQUE;1
SP;MARILIA;176
SP;MARTINOPOLIS;2
SP;MATAO;115
SP;MAUA;35
SP;MIRACATU;7
SP;MIRANDOPOLIS;2
SP;MIRASSOL;7
SP;MOCOCA;3
SP;MOGI DAS CRUZES;74
SP;MOGI MIRIM;12
SP;MOGI-GUACU;16
SP;MONGAGUA;6
SP;MONTE ALTO;5
SP;MONTE APRAZIVEL;2
SP;MORRO AGUDO;3
SP;MOTUCA;1
SP;NHANDEARA;2
SP;NOVA ODESSA;2
SP;NOVO HORIZONTE;6
SP;NUPORANGA;3
SP;OLIMPIA;8
SP;ONDA VERDE;1
SP;ORLANDIA;7
SP;OSASCO;529
SP;OSVALDO CRUZ;5
SP;OURINHOS;17
SP;PALMITAL;5
SP;PARAGUACU PAULISTA;7
SP;PEDERNEIRAS;5
SP;PEDREIRA;5
SP;PENAPOLIS;9
SP;PEREIRA BARRETO;4
SP;PEREIRAS;2
SP;PERUIBE;6
SP;PIEDADE;4
SP;PILAR DO SUL;2
SP;PINDAMONHANGABA;16
SP;PIRACICABA;339
SP;PIRAJU;4
SP;PIRAJUI;2
SP;PIRAPOZINHO;1
SP;PIRASSUNUNGA;84
SP;PITANGUEIRAS;2
SP;PORTO FELIZ;3
SP;PORTO FERREIRA;4
SP;PRAIA GRANDE;12
SP;PRESIDENTE EPITACIO;104
SP;PRESIDENTE PRUDENTE;204
SP;PRESIDENTE VENCESLAU;4
SP;PROMISSAO;7
SP;RANCHARIA;5
SP;REGISTRO;159
SP;RIBEIRAO PIRES;11
SP;RIBEIRAO PRETO;439
SP;RIO CLARO;23
SP;RIO DAS PEDRAS;3
SP;ROSANA;1
SP;SALTO;116
SP;SALTO DE PIRAPORA;3
SP;SANTA BARBARA D'OESTE;11
SP;SANTA CRUZ DAS PALMEIRAS;2
SP;SANTA CRUZ DO RIO PARDO;6
SP;SANTA FE DO SUL;5
SP;SANTA ISABEL;2
SP;SANTANA DE PARNAIBA;7
SP;SANTO ANASTACIO;3
SP;SANTO ANDRE;1.627
SP;SANTOS;959
SP;SAO BERNARDO DO CAMPO;228
SP;SAO CAETANO DO SUL;25
SP;SAO CARLOS;1.818
SP;SAO JOAO DA BOA VISTA;169
SP;SAO JOAQUIM DA BARRA;12
SP;SAO JOSE DO RIO PARDO;13
SP;SAO JOSE DO RIO PRETO;442
SP;SAO JOSE DOS CAMPOS;2.719
SP;SAO MANUEL;1
SP;SAO MIGUEL ARCANJO;2
SP;SAO PAULO;11.927
SP;SAO PEDRO;4
SP;SAO ROQUE;111
SP;SAO SEBASTIAO;49
SP;SAO SIMAO;2
SP;SAO VICENTE;27
SP;SERRANA;2
SP;SERTAOZINHO;167
SP;SOCORRO;3
SP;SOROCABA;722
SP;SUMARE;14
SP;SUZANO;142
SP;TABOAO DA SERRA;25
SP;TAMBAU;3
SP;TANABI;3
SP;TAQUARITINGA;2
SP;TAQUARITUBA;2
SP;TATUI;12
SP;TAUBATE;191
SP;TEODORO SAMPAIO;4
SP;TIETE;11
SP;TUPA;60
SP;UBATUBA;23
SP;VALINHOS;9
SP;VALPARAISO;2
SP;VARGEM GRANDE PAULISTA;3
SP;VARZEA PAULISTA;2
SP;VOTORANTIM;8
SP;VOTUPORANGA;134
TO;ABREULANDIA;1
TO;ARAGUAINA;625
TO;ARAGUATINS;80
TO;ARAPOEMA;1
TO;ARRAIAS;103
TO;COLINAS DO TOCANTINS;47
TO;DIANOPOLIS;20
TO;FORMOSO DO ARAGUAIA;3
TO;GUARAI;2
TO;GURUPI;239
TO;LAGOA DA CONFUSAO;6
TO;MIRACEMA DO TOCANTINS;90
TO;PALMAS;2.565
TO;PARAISO DO TOCANTINS;66
TO;PEDRO AFONSO;3
TO;PIUM;1
TO;PORTO NACIONAL;226
TO;TOCANTINIA;1
TO;TOCANTINOPOLIS;93
